0,401128072,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,los-angeles-chargers,detroit-lions,24,8,042453,035C98,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128098,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,minnesota-vikings,green-bay-packers,16,9,240A67,204E32,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128114,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,indianapolis-colts,tennessee-titans,11,10,00417E,2F95DD,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127862,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,new-england-patriots,miami-dolphins,17,15,02244A,006B79,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128106,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,buffalo-bills,new-york-giants,2,19,04407F,052570,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128110,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,seattle-seahawks,pittsburgh-steelers,26,23,224970,000000,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128115,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,dallas-cowboys,washington,6,28,002E4D,650415,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128061,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,arizona-cardinals,baltimore-ravens,22,33,A40227,2B025B,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128101,game,2019-09-15T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,jacksonville-jaguars,houston-texans,30,34,00839C,00133F,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128118,game,2019-09-15T20:05Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,kansas-city-chiefs,oakland-raiders,12,13,BE1415,000000,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128120,game,2019-09-15T20:25Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,chicago-bears,denver-broncos,3,7,152644,002E4D,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128122,game,2019-09-15T20:25Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,new-orleans-saints,los-angeles-rams,18,14,020202,00295B,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128124,game,2019-09-16T00:20Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,NBC,philadelphia-eagles,atlanta-falcons,21,1,06424D,000000,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401128127,game,2019-09-17T00:15Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,ESPN,cleveland-browns,new-york-jets,5,20,4C230E,174032,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127859,game,2019-09-20T00:20Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,NFL,tennessee-titans,jacksonville-jaguars,10,30,2F95DD,00839C,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127915,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,cincinnati-bengals,buffalo-bills,4,2,FF2700,04407F,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127921,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,miami-dolphins,dallas-cowboys,15,6,006B79,002E4D,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127925,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,denver-broncos,green-bay-packers,7,9,002E4D,204E32,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127929,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,atlanta-falcons,indianapolis-colts,1,11,000000,00417E,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127953,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,baltimore-ravens,kansas-city-chiefs,33,12,2B025B,BE1415,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127956,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,oakland-raiders,minnesota-vikings,13,16,000000,240A67,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127861,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,CBS,new-york-jets,new-england-patriots,20,17,174032,02244A,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127959,game,2019-09-22T17:00Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,detroit-lions,philadelphia-eagles,8,21,035C98,06424D,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127962,game,2019-09-22T20:05Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,carolina-panthers,arizona-cardinals,29,22,2177B0,A40227,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
0,401127966,game,2019-09-22T20:05Z,post,espn.gamepackage.leagueId = 2,espn.gamepackage.leagueId = 2,football,FOX,new-york-giants,tampa-bay-buccaneers,19,27,052570,A80D08,espn.gamepackage.showGamebreak = tru,espn.gamepackage.supportsHeadshots = tr,full
,gameId,type,timestamp,status,league,leagueId,sport,network,awayTeamName,homeTeamName,awayTeamId,homeTeamId,awayTeamColor,homeTeamColor,showGamebreak,supportsHeadshots,playByPlaySource
